track_id,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,eff_8,eff_9,eff_10,eff_11,eff_12,eff_13,eff_14,eff_15,eff_16,eff_17,eff_18,eff_19,eff_20,eff_21,eff_22,eff_23,eff_24,eff_25,eff_26,eff_27,eff_28,eff_29,eff_30,eff_31,eff_32,eff_33,eff_34
02 By Your Side,-700.40283,52.60311,62.10567,56.936443,27.674786,18.122581,9.305709,-6.175513,-12.873536,-12.014686,-16.738697,-12.104254,-8.346209,93.076126,45.65774,33.51615,25.82887,20.857536,15.116368,13.048092,13.183394,14.74699,12.406793,12.181452,10.709506,7.9841313,2347.636,1951.4418,2441.3489,0.078650564,0.088742144,140.0223,2.371097,0.8279056,0.0
02 Cauterize,-663.37714,54.375507,-1.8794206,17.440865,10.155,18.530506,9.979274,14.101966,4.692886,11.493321,-0.78131515,6.8960257,-0.14580518,141.10155,65.53828,59.324673,42.91282,27.68434,17.64431,14.020514,13.042202,11.472886,12.504458,12.845797,12.538385,10.069775,2224.9172,1661.216,2329.726,0.11638682,0.07786868,104.93439,3.5434144,0.7291906,1.0
02 Depth Charge,-920.79895,286.80145,21.163298,-42.516006,-15.460472,-0.12138287,12.709033,10.900385,5.596008,8.714277,0.437715,-5.6104693,0.61044145,72.36164,34.60087,41.95335,30.310555,53.057526,40.82778,29.015003,20.027954,14.089861,19.260849,19.105843,16.985239,12.899656,602.9118,311.59787,703.37354,0.06972889,0.02632091,139.91206,2.93395,0.8775121,1.0
02 Don_t Forget,-903.903,258.86847,51.876045,12.369705,11.10846,30.10722,19.597582,11.961918,16.359106,10.607307,13.491009,10.446053,12.846413,142.69978,48.716934,57.432304,37.689247,31.410648,21.910349,20.180943,17.63789,11.227944,12.185777,8.243437,8.804237,7.4950805,240.61777,276.8901,274.31717,0.10306997,0.008117747,129.91972,3.7106204,0.55029804,0.0
02 Flowers in Bloom,-713.9842,71.64874,104.23444,63.29458,43.868908,12.241307,-16.8836,-13.445432,-15.598395,-22.033466,-9.398305,-7.4455843,-11.09426,94.14365,49.010963,34.83461,19.744448,20.492975,17.552261,19.836256,19.310757,18.84206,17.55553,15.747038,13.724386,9.483344,2223.6545,1483.1637,1885.2839,0.08536451,0.07395147,133.87958,3.1656103,0.86053604,0.0
02 Fortyfive,-856.91626,146.4718,63.262463,44.80904,3.348623,16.510275,15.20758,11.244387,14.13097,4.217584,5.9580092,6.7771845,9.2197695,146.6124,84.153564,50.164944,23.653805,25.14975,16.506765,18.11523,17.541536,14.23002,14.283594,11.27351,11.405157,9.110187,1222.6635,2147.7878,1470.572,0.11060224,0.040664665,125.014824,3.00755,0.8816664,0.0
02 In Flux,-668.0788,171.21353,50.220795,49.413998,13.96404,22.758017,15.42308,14.504426,10.985934,11.097411,5.959911,2.0862021,-0.58994293,87.311516,60.92078,22.678083,15.226477,9.740705,9.866691,9.016008,7.6396513,6.6899924,6.0274034,5.885723,5.927237,5.617148,458.87106,882.43427,420.35144,0.23493676,0.012554967,143.80618,2.824741,0.6220464,0.0
02 Jack Nolan - Vivum,-732.8126,198.61554,53.544468,61.908028,27.728285,21.126696,20.634037,12.933843,11.18189,16.62998,3.48899,3.3039312,3.0144794,149.66025,76.59197,39.64191,22.238962,20.627089,14.860436,12.609867,13.573243,11.21749,10.190671,8.763512,8.072091,8.4872265,485.04352,808.22284,361.95773,0.24749796,0.01313996,138.02899,2.8678193,0.55029154,0.0
02 Look Precisely,-719.4944,186.86574,43.356834,43.685513,37.762966,28.538784,16.32647,18.921997,8.450697,9.333927,5.213714,4.886141,4.9838943,97.15412,23.674686,42.31981,17.62283,17.025469,11.648742,10.419666,9.068957,8.463432,8.112944,7.5014906,6.5270166,5.685652,190.5014,153.89496,123.393166,0.22391607,0.006447957,139.96613,3.4838662,0.8059556,1.0
02 Mega,-681.9984,154.50093,45.72045,31.021849,30.668013,21.0059,9.992717,17.752552,19.568974,22.586153,21.629679,13.18591,1.1060978,129.6692,62.20053,30.561241,15.493857,13.421804,10.634875,11.095686,8.403304,8.978133,11.571166,12.2318325,8.171177,6.1141396,543.0585,650.5008,329.42053,0.18396483,0.018041851,138.029,2.9148142,0.47799218,0.0
02 Ninety One,-579.0621,76.82643,33.06198,42.206768,35.1387,19.714022,15.077766,15.864933,8.693011,14.840273,16.51129,6.890126,5.8947268,87.59421,25.1928,23.56798,13.341641,12.027567,14.966327,8.986182,9.726899,11.008926,7.8433747,11.419893,7.5751147,6.842137,1305.3485,798.4863,624.89606,0.17083593,0.040374342,138.01813,3.6960583,0.7994239,1.0
02 Nucleo,-913.6191,206.31706,92.80048,76.84054,44.484734,25.320883,12.246138,10.92621,14.665282,12.043978,4.9678016,1.6384851,3.7451923,104.862434,53.23393,37.931316,27.067549,19.138954,15.2095175,13.405714,10.945987,13.738119,9.077682,11.679953,8.254616,7.5518174,207.68968,459.04016,121.277336,0.118361674,0.0052611595,109.1405,1.21343,0.81593055,0.0
02 Obsoletion,-822.7506,159.9267,42.02385,2.5302646,13.970092,11.442335,7.226669,-2.1509879,-2.661383,-7.559733,-9.091524,-7.5754366,-4.9582977,121.64566,57.95497,37.62021,25.151669,21.31568,19.228006,17.25005,15.586037,14.055316,12.319116,11.60647,10.747302,11.412215,1919.4567,2526.7893,2587.308,0.13537079,0.09091835,125.27065,3.6888928,0.40134928,1.0
02 Relief,-917.12885,244.82544,79.166176,53.307865,31.85179,22.782537,25.34486,29.606499,13.081318,14.77942,20.51742,12.011506,1.3803338,94.98363,37.243053,23.911951,20.413855,16.738083,14.507446,13.096838,13.773571,9.801467,11.046987,12.921151,11.28234,12.249776,97.98136,82.32202,88.78177,0.13207658,0.0032668565,131.06932,3.8159535,0.71402323,0.0
02 Space Tribal Brain Hacking,-750.83624,160.45323,64.23225,34.649006,43.189766,21.373505,15.938371,12.65683,1.720116,10.637656,-4.1165776,22.759491,-5.1609445,104.85439,51.59559,36.50443,28.698492,22.81015,19.991331,21.258738,16.904724,14.477895,14.604822,11.684118,14.402411,14.348415,487.84406,687.011,268.04465,0.11738261,0.012897992,140.87604,3.753819,0.86275953,1.0
02 Turning Point,-695.05927,116.50259,50.061085,48.099464,23.697401,29.981438,11.878138,17.138607,15.008166,8.758732,11.866563,7.1066656,10.451865,103.89927,63.349136,30.15619,20.290546,11.2885275,12.090676,10.508436,10.862968,8.5962105,8.104639,7.3599315,7.396198,7.1280794,1087.0385,1293.7484,1019.4327,0.12306916,0.03977556,130.82845,3.8861594,0.8936961,0.0
02 Untitled,-841.9368,248.99637,29.329878,-24.613867,-22.564123,12.341816,11.025296,2.2236533,-3.9470205,-10.731907,-14.112934,-16.379961,-11.936103,66.27408,52.028934,29.090488,20.050327,15.797019,15.286355,13.919312,13.110732,12.457724,11.043551,10.323907,9.835587,8.435861,498.0261,298.38596,604.15424,0.05827597,0.022537816,121.0479,2.917398,0.64818174,1.0
02 intersphere,-702.46924,160.34726,48.532753,32.368797,33.4568,31.40793,19.357117,10.852867,9.063074,6.0600176,4.64193,1.4338663,1.3693595,74.63582,42.16683,37.714695,21.461689,19.950819,15.686996,13.951651,12.955534,9.521199,7.4759793,7.942399,9.669889,9.819972,390.7489,349.4395,240.68874,0.16227964,0.013323561,137.33574,3.1129217,0.39443487,0.0
02-bidoben-28-33,-663.1212,176.90906,49.22753,38.458397,22.338665,16.423212,15.809887,11.456516,11.188138,5.9326797,-2.194323,-1.1586109,10.595629,99.5642,60.24525,33.076866,17.845255,15.623992,9.1037245,11.104275,10.786617,8.671764,8.879236,10.29148,8.992802,11.92153,590.41705,696.75616,411.75482,0.2508888,0.022062568,139.86308,2.6377072,0.5211536,0.0
02-bidoben-98_fahrenheit,-654.8053,144.25569,40.650803,58.859615,22.433613,25.685484,19.195364,16.22168,10.440629,13.9749,5.482198,4.4766593,-0.609388,111.866165,63.068012,31.574617,24.01175,17.203205,10.935528,11.445992,8.883777,7.7638617,7.8277087,6.880975,6.2237387,7.440902,685.18024,887.9036,607.3696,0.25307027,0.021074861,141.00671,3.835378,0.5237116,0.0
02-connor_wall-splash_your_face_(original_mix),-759.9608,172.36316,78.845055,84.09908,24.670998,37.16776,-1.7763056,4.8325987,2.8701458,9.80254,-3.1523168,-2.5322878,-0.51637495,74.002464,26.844511,28.728071,27.482693,14.724493,17.99824,13.584635,12.684115,10.160988,9.118402,9.331023,9.066837,8.9188,185.78928,266.6826,163.29414,0.24940224,0.006623625,140.01718,3.7190022,0.29905337,0.0
02-fireground-riflesso-58e0cecb,-581.0669,89.561325,2.425399,43.920635,28.268991,32.804264,12.410387,26.140236,13.198918,17.955349,4.424509,9.243968,4.972121,66.57869,32.317097,22.100027,13.272838,15.227988,11.156588,12.187974,9.51986,9.008419,9.951106,9.864411,8.502093,6.9883056,973.94696,707.2967,754.745,0.21335968,0.03801397,136.87727,3.6767685,0.6837792,0.0
